@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2026/06/11 16:30:22:841',2,0.145019,0.516251,0.025501,0.014464,1,0.033534,0.14,0.54,0,0.1
2,'2026/06/11 16:30:22:889',2,0.145019,0.516251,0.025501,0.014464,1,0.033534,0.14,0.54,0,0.1
3,'2026/06/11 16:30:22:892',2,0.154118,0.519347,0.028438,0.010596,1,0.030107,0.14,0.54,0,0.1
4,'2026/06/11 16:30:22:893',2,0.154118,0.519347,0.028438,0.010596,1,0.030107,0.14,0.54,0,0.1
5,'2026/06/11 16:30:22:912',2,0.122955,0.524942,0.032998,0.020899,1,0.031785,0.14,0.54,0,0.1
6,'2026/06/11 16:30:22:913',2,0.122955,0.524942,0.032998,0.020899,1,0.031785,0.14,0.54,0,0.1
7,'2026/06/11 16:30:22:947',2,0.151139,0.515325,0.036116,0.023963,1,0.02311,0.14,0.54,0,0.1
8,'2026/06/11 16:30:22:947',2,0.151139,0.515325,0.036116,0.023963,1,0.02311,0.14,0.54,0,0.1
9,'2026/06/11 16:30:22:984',2,0.15646,0.53183,0.021855,0.011934,1,0.032075,0.14,0.54,0,0.1
10,'2026/06/11 16:30:22:986',2,0.15646,0.53183,0.021855,0.011934,1,0.032075,0.14,0.54,0,0.1
11,'2026/06/11 16:30:23:025',2,0.151057,0.551487,0.030725,0.029462,1,0.031041,0.14,0.54,0,0.1
12,'2026/06/11 16:30:23:026',2,0.151057,0.551487,0.030725,0.029462,1,0.031041,0.14,0.54,0,0.1
13,'2026/06/11 16:30:23:060',2,0.151859,0.545926,0.037234,0.021547,1,0.020916,0.14,0.54,0,0.1
14,'2026/06/11 16:30:23:061',2,0.151859,0.545926,0.037234,0.021547,1,0.020916,0.14,0.54,0,0.1
15,'2026/06/11 16:30:23:096',2,0.130204,0.529469,0.021596,0.014656,1,0.025559,0.14,0.54,0,0.1
16,'2026/06/11 16:30:23:097',2,0.130204,0.529469,0.021596,0.014656,1,0.025559,0.14,0.54,0,0.1
17,'2026/06/11 16:30:23:134',2,0.144885,0.533242,0.027404,0.01419,1,0.038733,0.14,0.54,0,0.1
18,'2026/06/11 16:30:23:135',2,0.144885,0.533242,0.027404,0.01419,1,0.038733,0.14,0.54,0,0.1
19,'2026/06/11 16:30:23:169',2,0.145329,0.545457,0.023423,0.024583,1,0.027589,0.14,0.54,0,0.1
20,'2026/06/11 16:30:23:169',2,0.145329,0.545457,0.023423,0.024583,1,0.027589,0.14,0.54,0,0.1
21,'2026/06/11 16:30:23:204',2,0.157623,0.547,0.031139,0.023692,1,0.03552,0.14,0.54,0,0.1
22,'2026/06/11 16:30:23:205',2,0.157623,0.547,0.031139,0.023692,1,0.03552,0.14,0.54,0,0.1
23,'2026/06/11 16:30:23:242',2,0.130246,0.516605,0.026309,0.015355,1,0.038858,0.14,0.54,0,0.1
24,'2026/06/11 16:30:23:242',2,0.130246,0.516605,0.026309,0.015355,1,0.038858,0.14,0.54,0,0.1
25,'2026/06/11 16:30:23:280',2,0.153549,0.530734,0.033109,0.017913,1,0.029177,0.14,0.54,0,0.1
26,'2026/06/11 16:30:23:281',2,0.153549,0.530734,0.033109,0.017913,1,0.029177,0.14,0.54,0,0.1
27,'2026/06/11 16:30:23:325',2,0.131536,0.527331,0.031227,0.015255,1,0.037956,0.14,0.54,0,0.1
28,'2026/06/11 16:30:23:327',2,0.131536,0.527331,0.031227,0.015255,1,0.037956,0.14,0.54,0,0.1
29,'2026/06/11 16:30:23:354',2,0.136378,0.525966,0.039951,0.020191,1,0.020942,0.14,0.54,0,0.1
30,'2026/06/11 16:30:23:355',2,0.136378,0.525966,0.039951,0.020191,1,0.020942,0.14,0.54,0,0.1
31,'2026/06/11 16:30:23:392',2,0.125947,0.546372,0.035842,0.018443,1,0.027632,0.14,0.54,0,0.1
32,'2026/06/11 16:30:23:393',2,0.125947,0.546372,0.035842,0.018443,1,0.027632,0.14,0.54,0,0.1
33,'2026/06/11 16:30:23:429',2,0.15786,0.541456,0.039422,0.027216,1,0.034414,0.14,0.54,0,0.1
34,'2026/06/11 16:30:23:436',2,0.15786,0.541456,0.039422,0.027216,1,0.034414,0.14,0.54,0,0.1
35,'2026/06/11 16:30:23:465',2,0.146542,0.541849,0.025337,0.022819,1,0.028695,0.14,0.54,0,0.1
36,'2026/06/11 16:30:23:466',2,0.146542,0.541849,0.025337,0.022819,1,0.028695,0.14,0.54,0,0.1
37,'2026/06/11 16:30:23:515',2,0.138334,0.562691,0.037517,0.015268,1,0.023573,0.14,0.54,0,0.1
38,'2026/06/11 16:30:23:516',2,0.138334,0.562691,0.037517,0.015268,1,0.023573,0.14,0.54,0,0.1
39,'2026/06/11 16:30:23:546',2,0.154855,0.558526,0.025969,0.022779,1,0.023057,0.14,0.54,0,0.1
40,'2026/06/11 16:30:23:555',2,0.154855,0.558526,0.025969,0.022779,1,0.023057,0.14,0.54,0,0.1
41,'2026/06/11 16:30:23:590',2,0.14945,0.541969,0.035573,0.020607,1,0.026483,0.14,0.54,0,0.1
42,'2026/06/11 16:30:23:590',2,0.14945,0.541969,0.035573,0.020607,1,0.026483,0.14,0.54,0,0.1
43,'2026/06/11 16:30:23:635',2,0.122701,0.561455,0.037574,0.026633,1,0.021159,0.14,0.54,0,0.1
44,'2026/06/11 16:30:23:637',2,0.122701,0.561455,0.037574,0.026633,1,0.021159,0.14,0.54,0,0.1
45,'2026/06/11 16:30:23:672',2,0.153608,0.562347,0.021713,0.01972,1,0.035212,0.14,0.54,0,0.1
46,'2026/06/11 16:30:23:673',2,0.153608,0.562347,0.021713,0.01972,1,0.035212,0.14,0.54,0,0.1
47,'2026/06/11 16:30:23:705',2,0.14957,0.52142,0.029506,0.020996,1,0.037449,0.14,0.54,0,0.1
48,'2026/06/11 16:30:23:706',2,0.14957,0.52142,0.029506,0.020996,1,0.037449,0.14,0.54,0,0.1
49,'2026/06/11 16:30:23:744',2,0.137233,0.52559,0.030786,0.024599,1,0.026234,0.14,0.54,0,0.1
50,'2026/06/11 16:30:23:745',2,0.137233,0.52559,0.030786,0.024599,1,0.026234,0.14,0.54,0,0.1
51,'2026/06/11 16:30:23:782',2,0.157825,0.547494,0.028762,0.020352,1,0.024494,0.14,0.54,0,0.1
52,'2026/06/11 16:30:23:782',2,0.157825,0.547494,0.028762,0.020352,1,0.024494,0.14,0.54,0,0.1
53,'2026/06/11 16:30:23:821',2,0.134171,0.544415,0.024602,0.014404,1,0.032622,0.14,0.54,0,0.1
54,'2026/06/11 16:30:23:822',2,0.134171,0.544415,0.024602,0.014404,1,0.032622,0.14,0.54,0,0.1
55,'2026/06/11 16:30:23:858',2,0.130242,0.560271,0.037193,0.011417,1,0.03338,0.14,0.54,0,0.1
56,'2026/06/11 16:30:23:859',2,0.130242,0.560271,0.037193,0.011417,1,0.03338,0.14,0.54,0,0.1
57,'2026/06/11 16:30:23:894',2,0.129713,0.521616,0.03871,0.021421,1,0.035692,0.14,0.54,0,0.1
58,'2026/06/11 16:30:23:902',2,0.129713,0.521616,0.03871,0.021421,1,0.035692,0.14,0.54,0,0.1
59,'2026/06/11 16:30:23:933',2,0.15107,0.524521,0.021939,0.018621,1,0.02934,0.14,0.54,0,0.1
60,'2026/06/11 16:30:23:933',2,0.15107,0.524521,0.021939,0.018621,1,0.02934,0.14,0.54,0,0.1
61,'2026/06/11 16:30:23:972',2,0.148247,0.548668,0.039683,0.011968,1,0.026786,0.14,0.54,0,0.1
62,'2026/06/11 16:30:23:973',2,0.148247,0.548668,0.039683,0.011968,1,0.026786,0.14,0.54,0,0.1
63,'2026/06/11 16:30:24:008',2,0.15302,0.527433,0.023804,0.018972,1,0.025571,0.14,0.54,0,0.1
64,'2026/06/11 16:30:24:010',2,0.15302,0.527433,0.023804,0.018972,1,0.025571,0.14,0.54,0,0.1
